epoch,train_loss,val_loss,val_dice
1,1.111722049135599,1.0775407543000968,0.759730325444885
2,1.2640721180609293,1.0708404445777768,0.7651006640947383
3,1.1442822465985458,1.0169022086521853,0.7954610842077628
4,1.1565596977746264,1.2044373365200085,0.8184329012165898
5,1.253493133261337,1.134815523157949,0.8315372732670411
6,1.2308219122405377,1.2666271319207938,0.854367533131786
7,1.225554270311172,1.2096578041496484,0.8679597941429719
8,1.180734895123458,1.2162849394523578,0.873121726124183
9,1.1797723863620935,1.158763804189537,0.8786621404730756
10,1.1831719560652787,1.152027231519637,0.8811183811529822
11,1.1897220647668245,1.1210184064896211,0.8871984245336574
12,1.194925140149845,1.1360630295846774,0.8926364617503207
13,1.2027557004497658,1.3835229287328927,0.8734053127143694
14,1.216880812778236,1.3864396327863568,0.8789976064277731
15,1.2115600839349794,1.1380302834769953,0.8889120208180469
16,1.2156395314272888,1.1947019132583037,0.8972936962609706
17,1.19619062339297,1.3169412794320479,0.8931497918522876
18,1.2072078298707927,1.2457109249156455,0.9016921044043873
19,1.2171500134542121,1.2586776983478796,0.8975174035067144
20,1.2273357018180515,1.1828002667297488,0.8950411081314087
1,0.435699200361782,0.4119761692279059,0.7660493685499482
2,0.38975244561522643,0.39218629734671634,0.7736039051543111
3,0.3742952128143414,0.37182063625558565,0.7784808268365653
4,0.3642795192806617,0.3320424818312344,0.8084788280336753
5,0.32936701039720023,0.2937411358984916,0.8380475420018901
6,0.29523997975987676,0.2721707851666471,0.8516812609589618
7,0.2785741687977906,0.2633681111037731,0.8575721247040707
8,0.2667353252029937,0.2584407933704231,0.8585890848999438
9,0.2548849041232411,0.25408948293846584,0.8628937592325003
10,0.2482641872759006,0.24805458513614925,0.8699008705823318
11,0.24296052830282205,0.23595931931682254,0.873938918761585
12,0.23485774054012684,0.23478862926687882,0.875195707315984
13,0.2282808527975164,0.235562012773817,0.8715438752070718
14,0.22659024346319045,0.2291333141696194,0.876488017971101
15,0.22110514485086344,0.21852974253504173,0.8841270059347153
16,0.2169927690895448,0.22313239465913046,0.8815813093729641
17,0.21196970113362215,0.22500058846629184,0.8838729615444723
18,0.2100552063990639,0.22021855830984272,0.8802080011886099
19,0.2048446943185159,0.24572407571679872,0.876013143878916
20,0.19816074912546214,0.2034924823952758,0.89364547347245
1,0.3790866142798285,0.33006441828025423,0.813885068439919
2,0.28730998838447636,0.23349884962258133,0.8807218531551568
3,0.2420770746210347,0.20149754534435013,0.8941602596770162
4,0.2186391890072119,0.19412615320280843,0.9009370204547177
5,0.200173432574324,0.1882802478807128,0.9024744221697683
6,0.1919646609042372,0.17554421848415033,0.9100200932310976
7,0.18306995301235537,0.17731346526061711,0.909534928591355
8,0.17612456900547752,0.17582039401421082,0.9078684789331063
9,0.17321175916455916,0.1721651646025155,0.9104494293746741
10,0.16198469330527768,0.1561578730850116,0.9187307296239812
11,0.15840466837659015,0.16512331917234088,0.9098932159983594
12,0.1553404572541299,0.15460968187645727,0.9205121666840885
13,0.15044870516805917,0.17478878824445215,0.9100384394759717
14,0.14834941304664803,0.14408709457063157,0.9257467703326888
15,0.14716900568108382,0.15621149418470653,0.9172784151590389
16,0.1439956348065449,0.14396875341544332,0.9265238130870073
17,0.13757330460346634,0.1462449610800199,0.9247833030379337
18,0.13634214367462982,0.23368746054399273,0.8846645640290302
19,0.13561095282296587,0.14446912357664626,0.9273879770999369
20,0.13318960756780754,0.14791576967210227,0.925230350183404
